subject,idna_subject,expiration_date,epoch
actus.org.pl,actus.org.pl,23-aug-2021,1629676800.0
acumat.com.sg,acumat.com.sg,12-mar-2021,1615507200.0
acumfaegovan.com,acumfaegovan.com,06-jun-2022,1654473600.0
aczarniecka.pl,aczarniecka.pl,10-apr-2021,1618012800.0
ad-avenue.net,ad-avenue.net,25-sep-2021,1632528000.0
adamczuk-fotovideo.pl,adamczuk-fotovideo.pl,11-apr-2021,1618099200.0
adamkurier.top,adamkurier.top,18-aug-2021,1629244800.0
adampaczka.com,adampaczka.com,12-may-2021,1620777600.0
adamstheboutique.com,adamstheboutique.com,24-aug-2021,1629763200.0
adapterylaptopa.com,adapterylaptopa.com,07-aug-2021,1628294400.0
adaranth.com,adaranth.com,05-mar-2021,1614902400.0
adasiapaczka.org,adasiapaczka.org,18-may-2021,1621296000.0
adblock-listefr.com,adblock-listefr.com,11-may-2021,1620691200.0
add-fix.com,add-fix.com,03-aug-2021,1627948800.0
ademg.ug,ademg.ug,02-may-2021,1619913600.0
adenorsimoes.com.br,adenorsimoes.com.br,23-nov-2021,1637625600.0
adep-ms.com.br,adep-ms.com.br,18-feb-2021,1613606400.0
adept-partners.com,adept-partners.com,10-aug-2022,1660089600.0
adeptia.pl,adeptia.pl,04-jul-2021,1625356800.0
adidas-polska.com,adidas-polska.com,27-feb-2021,1614384000.0
adidasnajtansze.pl,adidasnajtansze.pl,24-jan-2021,1611446400.0
adidasoriginalsoutlet.pl,adidasoriginalsoutlet.pl,19-mar-2021,1616112000.0
adidasplsklep.pl,adidasplsklep.pl,06-oct-2021,1633478400.0
adidaspolskasklep.com,adidaspolskasklep.com,30-sep-2021,1632960000.0
adidasterrex.pl,adidasterrex.pl,11-may-2021,1620691200.0
adidhakeswariberhampore.com,adidhakeswariberhampore.com,03-aug-2021,1627948800.0
adinkraworld.com,adinkraworld.com,17-sep-2021,1631836800.0
adiyamanlicigkoftecim.com,adiyamanlicigkoftecim.com,01-jul-2029,1877558400.0
adkokurier.org,adkokurier.org,26-mar-2021,1616716800.0
admvero.com.br,admvero.com.br,03-oct-2021,1633219200.0
admwarszawa.pl,admwarszawa.pl,13-aug-2021,1628812800.0
adonisbundles.com,adonisbundles.com,04-aug-2021,1628035200.0
adopteememo.com,adopteememo.com,15-apr-2021,1618444800.0
adozeuds.com,adozeuds.com,20-apr-2021,1618876800.0
adrianamurakami.com,adrianamurakami.com,09-jul-2022,1657324800.0
ads-fb.co,ads-fb.co,05-jul-2021,1625443200.0
ads.live,ads.live,30-mar-2021,1617062400.0
adservd.com,adservd.com,18-jun-2021,1623974400.0
adsivo.pl,adsivo.pl,18-jan-2021,1610928000.0
adsvive.com,adsvive.com,07-feb-2021,1612656000.0
adtechsolutions.in,adtechsolutions.in,21-aug-2021,1629504000.0
adturtle.biz,adturtle.biz,27-jun-2021,1624752000.0
adulttraffic69.com,adulttraffic69.com,20-mar-2021,1616198400.0
adultworld.online,adultworld.online,18-aug-2021,1629244800.0
adunagow.net,adunagow.net,19-apr-2021,1618790400.0
advanceddisposalsolutions.com,advanceddisposalsolutions.com,29-oct-2023,1698537600.0
advanceusaloans.com,advanceusaloans.com,15-jul-2021,1626307200.0
advanter.ua,advanter.ua,08-jul-2021,1625702400.0
adventurefeeds.com,adventurefeeds.com,17-may-2024,1715904000.0
adventureitdate.com,adventureitdate.com,20-aug-2022,1660953600.0
adventureits.com,adventureits.com,22-feb-2021,1613952000.0
advesa.com,advesa.com,09-mar-2021,1615248000.0
adworkmedia.com,adworkmedia.com,08-feb-2021,1612742400.0
aeasinos.com.br,aeasinos.com.br,29-may-2021,1622246400.0
aeroasia-interior.com,aeroasia-interior.com,28-feb-2021,1614470400.0
aeropilates.cl,aeropilates.cl,24-mar-2021,1616544000.0
aestetik.com.mx,aestetik.com.mx,20-jun-2021,1624147200.0
affiliateking.xyz,affiliateking.xyz,11-apr-2021,1618099200.0
affiliater.pl,affiliater.pl,06-jun-2021,1622937600.0
afordel.com,afordel.com,07-mar-2021,1615075200.0
africadamx.com,africadamx.com,27-sep-2021,1632700800.0
africahome.cm,africahome.cm,14-dec-2022,1670976000.0
africanmango.pl,africanmango.pl,28-apr-2021,1619568000.0
africanmango900.pl,africanmango900.pl,19-apr-2021,1618790400.0
afrimed.mr,afrimed.mr,19-jul-2021,1626652800.0
afriqueindustries-sa.com,afriqueindustries-sa.com,25-may-2021,1621900800.0
afrology.com,afrology.com,21-feb-2023,1676937600.0
afusheng.cn,afusheng.cn,18-mar-2021,1616025600.0
afyonfulyacicek.com,afyonfulyacicek.com,13-sep-2025,1757721600.0
ag-agency.pl,ag-agency.pl,23-aug-2021,1629676800.0
agapewilderness.com,agapewilderness.com,16-feb-2021,1613433600.0
agdeer.com,agdeer.com,05-mar-2021,1614902400.0
agdrtv.net,agdrtv.net,29-jun-2021,1624924800.0
agenciaetalk.com,agenciaetalk.com,25-feb-2021,1614211200.0
agenciaeureka.com.br,agenciaeureka.com.br,09-feb-2021,1612828800.0
agenciahandsup.com.br,agenciahandsup.com.br,13-jul-2024,1720828800.0
agenciaiddigital.com,agenciaiddigital.com,16-sep-2021,1631750400.0
agenciatabletshouse.com.br,agenciatabletshouse.com.br,21-apr-2028,1839888000.0
agenciq.pl,agenciq.pl,28-may-2021,1622160000.0
agencjat3.pl,agencjat3.pl,18-sep-2025,1758153600.0
agenity.com,agenity.com,10-aug-2022,1660089600.0
agentsdirect.com,agentsdirect.com,29-aug-2025,1756425600.0
aghosh.org,aghosh.org,23-mar-2021,1616457600.0
agiandsam.com,agiandsam.com,22-mar-2021,1616371200.0
agikurier.org,agikurier.org,03-may-2021,1620000000.0
agiletecnologia.net,agiletecnologia.net,18-aug-2021,1629244800.0
agilweb.cnt.br,agilweb.cnt.br,13-aug-2021,1628812800.0
agipasesores.com,agipasesores.com,09-may-2021,1620518400.0
agmservicesksa.com,agmservicesksa.com,18-jul-2021,1626566400.0
agnieszkasulkowska.pl,agnieszkasulkowska.pl,17-feb-2021,1613520000.0
agnieszkaurbas.pl,agnieszkaurbas.pl,01-aug-2021,1627776000.0
agora.id,agora.id,01-mar-2021,1614556800.0
agoty.org,agoty.org,20-jan-2021,1611100800.0
agricoletrade.com,agricoletrade.com,05-jul-2021,1625443200.0
agriex.ca,agriex.ca,25-apr-2021,1619308800.0
